Depth,Width,Parameters,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50
30,50,0.545010,36.759998,40.239998,53.149998,56.469997,62.539997,64.580002,67.580002,68.689995,69.809998,68.959999,64.739998,60.160000,71.589996,67.129997,76.930000,75.709999,76.860001,77.869995,75.849998,67.759995,78.979996,77.689995,82.229996,79.849998,82.829994,82.110001,84.989998,84.540001,83.339996,83.409996,85.189995,85.900002,87.479996,85.419998,86.689995,88.430000,88.509995,88.309998,89.369995,89.809998,89.759995,90.610001,90.570000,91.220001,91.339996,91.209999,91.320000,91.449997,91.389999,91.459999
9,38,0.089804,51.779999,53.509998,62.660000,59.439999,70.639999,73.009995,75.799995,73.889999,74.070000,76.809998,70.689995,77.970001,79.150002,74.089996,81.329994,81.119995,80.900002,78.720001,79.430000,79.699997,81.699997,83.939995,82.759995,84.040001,81.889999,83.809998,83.259995,84.220001,79.979996,83.930000,85.769997,83.189995,84.769997,84.110001,86.000000,86.549995,87.900002,87.459999,88.029999,88.509995,88.639999,88.639999,88.869995,88.739998,88.869995,88.989998,89.070000,89.250000,89.279999,89.209999
31,20,0.104690,31.719999,33.059998,41.189999,51.829998,43.459999,56.439999,45.309998,57.939999,60.369999,60.369999,65.970001,60.509998,65.070000,68.779999,71.439995,68.330002,71.400002,58.340000,58.619999,71.259995,72.409996,68.119995,70.019997,74.449997,72.839996,74.040001,73.909996,79.059998,72.470001,80.529999,79.519997,81.180000,78.269997,79.400002,81.629997,82.430000,81.769997,82.769997,83.519997,84.869995,84.169998,85.199997,85.739998,85.739998,85.970001,86.029999,86.189995,86.329994,86.229996,86.279999
16,122,1.729116,51.539997,62.480000,66.680000,74.860001,75.930000,76.529999,78.509995,81.059998,79.729996,81.769997,83.279999,81.930000,76.879997,85.009995,84.779999,87.629997,86.419998,87.489998,86.540001,88.349998,84.739998,89.000000,86.650002,88.360001,88.989998,89.650002,90.369995,90.040001,90.369995,91.589996,91.449997,91.899994,92.279999,92.750000,92.309998,92.419998,92.610001,93.199997,93.589996,93.639999,93.759995,94.169998,94.299995,94.459999,94.239998,94.189995,94.229996,94.220001,94.379997,94.299995
10,90,0.598960,52.809998,64.889999,71.559998,74.799995,71.040001,78.070000,81.239998,81.919998,81.839996,82.470001,83.400002,83.189995,85.180000,82.639999,82.820000,84.549995,84.360001,86.659996,87.059998,81.479996,88.180000,87.829994,87.449997,86.339996,88.669998,86.779999,87.589996,88.489998,89.959999,89.519997,89.989998,90.589996,90.820000,90.869995,91.589996,90.839996,91.869995,92.309998,92.209999,92.579994,92.680000,92.930000,92.779999,92.979996,93.000000,93.110001,93.159996,93.250000,93.129997,93.259995
25,32,0.202890,38.299999,42.410000,47.459999,47.480000,59.079998,59.119999,62.309998,66.739998,57.480000,70.330002,71.099998,69.540001,73.820000,74.430000,75.139999,77.599998,72.979996,78.729996,73.790001,74.059998,77.269997,79.250000,79.189995,82.709999,78.619995,78.579994,82.989998,78.790001,78.709999,84.169998,84.779999,83.150002,85.699997,86.709999,86.979996,84.750000,86.329994,87.360001,88.049995,87.839996,88.180000,88.619995,89.269997,89.159996,89.629997,89.449997,89.619995,89.669998,89.639999,89.619995
6,60,0.132850,50.610001,55.020000,59.840000,66.180000,66.930000,70.199997,73.220001,74.489998,75.790001,76.439995,74.820000,75.049995,75.790001,77.099998,77.849998,77.959999,76.680000,76.809998,80.189995,78.869995,80.540001,78.489998,80.549995,82.720001,81.180000,83.779999,83.320000,82.180000,84.339996,80.839996,85.639999,84.869995,85.029999,84.669998,85.159996,84.709999,86.049995,86.790001,86.110001,86.839996,87.379997,87.509995,88.129997,88.159996,88.199997,88.079994,88.159996,88.279999,88.329994,88.059998
40,60,1.075510,35.660000,44.369999,42.160000,53.169998,56.049999,54.649998,52.949997,60.949997,64.199997,64.799995,65.860001,58.759998,70.470001,69.430000,57.020000,65.919998,68.180000,67.290001,71.180000,71.639999,72.839996,70.439995,76.040001,77.949997,76.320000,75.220001,78.220001,78.930000,79.949997,81.159996,81.419998,83.040001,83.729996,83.900002,84.129997,84.589996,84.970001,85.589996,85.659996,86.369995,87.360001,87.769997,88.549995,88.250000,88.479996,88.579994,88.869995,88.900002,88.900002,88.829994
31,24,0.146458,36.649998,39.200001,44.660000,48.399998,48.480000,50.070000,53.449997,42.469997,56.149998,62.639999,48.779999,55.779999,66.589996,60.039997,63.629997,56.480000,69.509995,70.059998,70.659996,60.989998,69.720001,74.430000,75.320000,72.389999,76.619995,77.879997,76.949997,77.299995,78.110001,78.750000,80.579994,78.199997,80.879997,83.150002,82.860001,83.659996,82.849998,83.209999,84.949997,84.489998,84.229996,86.299995,86.110001,86.519997,86.489998,86.889999,86.939995,87.019997,87.049995,87.019997
23,36,0.229438,40.430000,50.840000,54.899998,58.090000,60.899998,67.509995,51.969997,72.669998,71.669998,70.949997,75.909996,73.029999,68.820000,72.949997,72.849998,77.269997,68.309998,79.040001,78.150002,81.659996,79.699997,81.299995,81.610001,80.049995,81.339996,80.919998,81.189995,83.629997,84.959999,84.139999,84.180000,83.629997,85.669998,84.860001,86.509995,88.199997,87.519997,87.900002,88.589996,89.329994,89.449997,89.809998,90.009995,90.409996,90.110001,90.479996,90.479996,90.430000,90.509995,90.589996
